,id,speaker,text,topic,token,polarity,subjectivity,certainty
0,14,KAMALA HARRIS,"So, I was raised as a middle-class kid",economy,"['so', 'be', 'raise', 'a', 'middle-class', 'kid']",0.0,0.0,1.0
1,16,DONALD TRUMP,"First of all, I have no sales tax",economy,"['first', 'all', 'have', 'no', 'sale', 'tax']",0.25,0.3333333333333333,1.0
2,18,KAMALA HARRIS,"Well, I would love to",economy,"['well', 'would', 'love']",0.5,0.6,-0.5
3,20,DONALD TRUMP,"Number one, I have nothing to do, as you know and as she knows better than anyone, I have nothing to do with Project 2025",economy,"['number', 'one', 'have', 'nothing', 'do', 'know', 'know', 'better', 'anyone', 'have', 'nothing', 'do', 'project', '2025']",0.5,0.5,0.75
4,22,KAMALA HARRIS,"So, Donald Trump has no plan for you",economy,"['so', 'donald', 'tramp', 'have', 'no', 'plan']",0.0,0.0,1.0
5,23,DONALD TRUMP,That's just a sound bite,economy,"['that', 'be', 'just', 'a', 'sound', 'bite']",0.4,0.4,1.0
6,25,DONALD TRUMP,They aren't gonna have higher prices what's gonna have and who's gonna have higher prices is China and all of the countries that have been ripping us off for years,economy,"['be', 'not', 'donna', 'have', 'higher', 'price', 'what', 'be', 'donna', 'have', 'who', 'be', 'donna', 'have', 'higher', 'price', 'be', 'all', 'the', 'country', 'that', 'have', 'be', 'rip', 'year']",0.25,0.5,1.0
7,27,KAMALA HARRIS,"Well, let's be clear that the Trump administration resulted in a trade deficit, one of the highest we've ever seen in the history of America",economy,"['well', 'let', 'is', 'be', 'clear', 'the', 'tramp', 'administration', 'result', 'a', 'trade', 'deficit', 'one', 'the', 'highest', 'have', 'ever', 'see', 'the', 'history', 'america']",0.10000000000000002,0.3833333333333333,0.75
8,29,DONALD TRUMP,"First of all, they bought their chips from Taiwan",economy,"['first', 'all', 'buy', 'chip']",0.25,0.3333333333333333,1.0
9,32,DONALD TRUMP,"Well, the reason I'm doing that vote is because the plan is, as you know, the vote is, they have abortion in the ninth month",abortion,"['well', 'the', 'reason', 'be', 'do', 'that', 'vote', 'be', 'the', 'plan', 'be', 'know', 'the', 'vote', 'be', 'have', 'abortion', 'the', 'ninth', 'month']",0.0,0.0,0.75
10,34,KAMALA HARRIS,"Well, as I said, you're going to hear a bunch of lies",abortion,"['well', 'say', 'be', 'go', 'hear', 'a', 'bunch', 'lie']",0.0,0.0,1.0
11,36,DONALD TRUMP,"Well, there she goes again",abortion,"['well', 'there', 'go', 'again']",0.0,0.0,1.0
12,38,DONALD TRUMP,"Well, I won't have to because again -- two things",abortion,"['well', 'wo', 'not', 'have', 'again', 'two', 'thing']",0.0,0.0,0.75
13,40,DONALD TRUMP,"Well, I didn't discuss it with JD In all fairness",abortion,"['well', 'do', 'not', 'discuss', 'd', 'all', 'fairness']",0.0,0.0,1.0
